Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-B2-4101-01A,0.0305790658484264,0,0.0103617069725087,0.270138007908021,0,0.174606816836134,0.00458100021813998,0,0.0121734339902532,0.0130944263837142,0.0244957804692506,0.0205194250897225,0.0608124983054813,0,0.100848557019889,0.136116841356881,0.048403667103494,0,0.0932687724980829,0,0,0,0.043,0.177885237085527,1.0188350772998
TCGA-BP-4342-01A,0.045674742035584,0,0,0.117227962102656,0,0.326903932473133,0,0.018787099637329,0.0315275998295885,0,0.0332837529363786,0.00593014056377397,0.0943962371421367,0,0.0698279764660474,0.218251171877767,0.0108412817666589,0,0.0273481031689474,0,0,0,0.032,0.195666190816538,1.01001184079442
TCGA-B0-4691-01A,0.0254057098546081,0,0.0497944310212518,0.40038267020646,0,0.0174369785742621,0,0.0936481558341996,0.0512703887954628,0.0421996231304138,0,0.0701697321084983,0.0211497670584567,0,0.112791487093842,0.0855890852824499,0.0141974730482067,0,0.015964497991888,0,0,0,0.011,0.262676570722737,1.00423262432789
TCGA-BP-4167-01A,0.0119943797262576,0,0.00201760767010254,0.325928723577407,0,0.124448773435437,0.0220238615957642,0.0360187873975964,0.0351041641056982,0.0495619470589052,0,0.0363486061798481,3.89275224821371E-05,0,0.0624852583964653,0.23798590848014,0.0119310359517717,0,0.0384928739048334,0,0,0.00561914499729147,0.001,0.383144976261588,0.928987131293616
TCGA-B8-4620-01A,0.0318369729991296,0,0.0019363501840727,0.0249043442277626,0,0.178735630376702,0.0291053960904246,0,0.0138492340751145,0.0220078135120094,0.0407252173666559,0,0.0522498910448315,0.101779279451263,0.0426269279527235,0.253609366267424,0,0.0392186647016111,0.011779106206336,0,0.0303034802590725,0.125332325284867,0.00600000000000001,0.290581919749243,0.965533429905538
TCGA-BP-4769-01A,0.112524779602658,0,0,0.0320724988754034,0,0.255292240995416,0,0,0,0,0.0180064740741605,0.0171593657159203,0.0355620044900865,0.0103522311120586,0.141350467321471,0.160960886798502,0,0.0902600738319853,0.126458977182338,0,0,0,0.223,0.0739705608910761,1.05936294878955
TCGA-CJ-4907-01A,0.0724149674995622,0,0.00909897397375113,0.130674749006471,0,0.107617339312574,0,0.00864964353964255,0.0175206589711368,0,0.0246795739451823,0.0479491678079002,0.108669559559091,0,0.0984986293240579,0.277963879561916,0.00559825976233764,0,0.0879103599317826,0,0,0.00275423780459491,0.039,0.185084942549164,1.00644815816096
TCGA-BP-5168-01A,0.0154062109121996,0,0.000235663395740716,0.174771528508312,0,0.181350429807027,0,0.00946804331930955,0.0364631455270703,0.0120728541913253,0,0.0863910629183701,0.0206390049892342,0.0551545335921177,0.167429035418396,0.102639040840061,0.0303262610584955,0,0.107653185522341,0,0,0,0.031,0.197702918988197,1.01873388440521
TCGA-BP-4977-01A,0,0,0.0031450096559231,0.126786490072158,0,0.205571250854996,0,0.00628510162625172,0.0556540741669468,0.00724972877159731,0.00142669806471349,0,0.0953072293335206,0.0538215546809726,0.0889508408812417,0.306892256567101,0.000255757064551474,0,0.0486540082600254,0,0,0,0.024,0.210769197892925,1.00082724692601
TCGA-B0-5080-01A,0.104235200010693,0,0.0771351763948466,0.306282670309052,0,0.0322829707802973,0.00719207648272871,0.00234887821321808,0.153371226082311,0,0,0.0373208041366589,0.0114591761623534,0.00719109783749548,0.0619968723502916,0.147545570730481,0,0,0.0478212990615634,0,0,0.0038169814480101,0.022,0.219963002264236,1.00608354128164
TCGA-B0-4838-01A,0.0130902549333958,0,0.008348275775224,0.665903712349581,0,0,0,0.0555048599215517,0.0425612681604983,0,0,0.0591208243868459,0.0105517130491357,0,0.0580801231010202,0.0365636196474198,0.00781958204582263,0,0.0399266566133889,0,0,0.00252911001611631,0.001,0.373289796651386,0.96563244209288
TCGA-DV-A4VX-01A,0.00485912815045288,0,0.00841059495152721,0.365375002570531,0,0,0.0140904904698085,0.0430508134536462,0.0600173152240667,0,0,0.0183539441340202,0.0389515634917654,0.219894112121847,0.078057142996533,0.134717317815255,0,0,0.000714162703301464,0,0,0.0135084119172466,0.072,0.135038024865737,1.04837681659682
TCGA-BP-5191-01A,0.0131215126325406,0.00909076172242402,0.0293617291010418,0.123130777345602,0,0.305418144559611,0.00815843999920633,0.0250060984666953,0.0713606355089534,0.0727795275009762,0,0.0371761648633904,0.00400085019623247,0.06613234497456,0.0932226201231236,0.0968773548491261,0.00922453673277681,0,0.0359385014237403,0,0,0,0.115,0.10940748180922,1.06051017261473
TCGA-CZ-4862-01A,0.00167046799017269,0,0,0.498377835588185,0,0.0335067545211989,0,0.0136268279133051,0.0494385041723577,0.0271107131745812,0,0.0162983839108534,0.051742928454086,0,0.130402836390181,0.147283474138793,0,0,0.0305412737462859,0,0,0,0.001,0.397982157235418,0.928309205622894
TCGA-B0-5697-11A,0.0545908326902975,0,0.0229166860590865,0.0631391335838933,0,0.298526190829736,0,0,0.0514417193441894,0,0,0.101140867397605,0.0293576358242929,0.00811402369089216,0.0365091182133737,0.186262274839753,0,0,0.140644058691518,0,0.00735745883536256,0,0.866,-0.0190346990904542,1.0936395424675
TCGA-BP-4758-01A,0.0139600474946841,0,0.00941644073451984,0.551483872751838,0,0,0.0117457557855559,0.0578450820478364,0.0802611349242258,0.0440150192223648,0,0.0304522896576984,0.00497741399266153,0,0.0751286781019195,0.102271630270697,0.00275655676858498,0.00362797539896646,0.0120581028484465,0,0,0,0.0659999999999999,0.140483496250276,1.08870195339863
